# MV2_CUDA_SMP_IPC=0
# MV2_CUDA_NONBLOCKING_STREAMS=0
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=0
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.42
2                         2.84
4                         5.61
8                        11.72
16                       23.32
32                       46.61
64                       93.09
128                     184.50
256                     363.21
512                     697.94
1024                   1087.20
2048                   1691.66
4096                   2362.05
8192                   5193.60
16384                  8591.61
32768                  9199.97
65536                  9538.94
131072                 9728.71
262144                 9814.40
524288                 9861.85
1048576                9881.31
2097152                9895.76
4194304                9863.28
##########
