
# MV2_CUDA_SMP_IPC=0
# MV2_CUDA_NONBLOCKING_STREAMS=1
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=1
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.44
2                         2.91
4                         5.83
8                        11.70
16                       23.26
32                       46.56
64                       93.05
128                     184.46
256                     362.56
512                     706.19
1024                   1083.22
2048                   1692.55
4096                   2362.31
8192                   5198.76
16384                  8580.72
32768                  9204.30
65536                  9543.34
131072                 9725.48
262144                 9819.26
524288                 9862.27
1048576                9883.84
2097152                9888.58
4194304                9863.80
##########
