# MV2_CUDA_SMP_IPC=0
# MV2_CUDA_NONBLOCKING_STREAMS=0
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=0
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.44
2                         2.89
4                         5.78
8                        11.59
16                       23.11
32                       46.20
64                       92.02
128                     183.11
256                     358.75
512                     700.93
1024                   1081.47
2048                   1688.18
4096                   2353.61
8192                   5236.52
16384                  8382.02
32768                  9189.88
65536                  9535.84
131072                 9717.56
262144                 9814.12
524288                 9860.95
1048576                9885.52
2097152                9597.26
4194304                9582.22
##########
