
# MV2_CUDA_SMP_IPC=1
# MV2_CUDA_NONBLOCKING_STREAMS=0
# MV2_USE_CUDA=1
# MV2_CUDA_IPC=0
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         1.40
2                         2.85
4                         5.57
8                        11.47
16                       22.13
32                       44.27
64                       88.83
128                     172.69
256                     350.52
512                     698.23
1024                   1064.06
2048                   1673.74
4096                   2323.57
8192                   5240.76
16384                  8473.26
32768                  9126.00
65536                  9460.45
131072                 9690.53
262144                 9797.45
524288                 9861.26
1048576                9884.71
2097152                9605.33
4194304                9574.31
##########
