#MV2_CUDA_SMP_IPC=0
#MV2_CUDA_NONBLOCKING_STREAMS=0
#MV2_USE_CUDA=1
#MV2_CUDA_IPC=0
#CL_DEVICE_NAME:       Tesla K20c
#CL_DEVICE_NAME:       Tesla K20c
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         2.74
2                         5.61
4                         9.95
8                        22.52
16                       44.97
32                       90.02
64                      179.33
128                     351.76
256                     684.66
512                    1248.76
1024                   2123.59
2048                   3765.45
4096                   5945.56
8192                   8175.42
16384                  8515.09
32768                  9328.77
65536                 10876.16
131072                11391.32
262144                 9209.60
524288                 9574.96
1048576                9741.17
2097152                9541.08
4194304                9703.47
##########
