
#MV2_CUDA_SMP_IPC=0
#MV2_CUDA_NONBLOCKING_STREAMS=1
#MV2_USE_CUDA=1
#MV2_CUDA_IPC=1
#CL_DEVICE_NAME:       Tesla K20c
#CL_DEVICE_NAME:       Tesla K20c
# OSU MPI Bandwidth Test
# Size        Bandwidth (MB/s)
1                         2.78
2                         5.58
4                        11.17
8                        21.31
16                       44.80
32                       89.70
64                      177.79
128                     353.10
256                     685.28
512                    1247.29
1024                   2131.33
2048                   3770.87
4096                   5959.09
8192                   8160.25
16384                  8501.10
32768                  9238.14
65536                 10514.72
131072                10671.15
262144                10009.99
524288                 9648.71
1048576                9777.85
2097152                9541.25
4194304                9717.37
##########
